Facility_Product_Description,Facility_Manufacturer_Name,Facility_Vendor_Name,count_txns,sum_base_spend,last_month
ED CT 3: REPLACEMENT QUOTE NUMBER: 2003050168.23,GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,1,1330119.79,2025-04
REVOLUTION APEX PLUS POWER PRO DIGITAL,GE MEDICAL SYSTEMS INFO TECH,GE MEDICAL SYSTEMS INFO TECH,1,1323700.21,2024-06
REVOLUTION APEX CT SCANNER,UNKNOWN,GE MEDICAL SYSTEMS INFO TECH,1,1318239.46,2024-04
GE REVOLUTION APEX PLUS POWER PRO CT80% ON DELIVER,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,1224432.13,2025-02
GE REVOLUTION ASCEND SLIDING GANTRY ME,UNKNOWN,GE HEALTHCARE,2,1200000.0,2025-01
"GE REVOLUTION APEX CT QUOTE NUMBER 2007933166.9 DATED OCTOBER 27TH, 2022",UNKNOWN,GE PRECISION HEALTHCARE LLC,1,1200000.0,2024-11
"GE REVOLUTION APEX SELECT CT SCANNER, WINDHAM HOSP",UNKNOWN,GE HEALTHCARE,1,1180500.0,2023-11
FURNISH AND INSTALLATION/TURNKEY OF NEW CT IN H BUILDING GROUND FL AS PER SCOPE OF WORK,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,1179689.0,2025-09
REVOLUTION APEX CT GE QUOTE #2011185588.5 BLANKET,GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,1,1139170.78,2024-10
GE CT REVOLUTION APEX 160 (CSR,UNKNOWN,VENDOR TO BE DETERMINED TBD,1,977995.0,2024-10
GE CT REVOLUTION APEX 160 (CSRW03) SYSTEM ID: TBD001 PHY LOC ACCT: 202206,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,962995.0,2024-12
GE DISCOVERY RT GEN 3 SIMULATOR,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,873769.88,2025-04
SERVICES PER AGREEMENT,UNKNOWN,GE HEALTHCARE,1,871840.0,2025-04
GEHC CT LIGHTSPEED VCT (64 SLICE) (CSPG30),GE HEALTHCARE INC,GE HEALTHCARE INC,1,865325.0,2025-08
GEHC CT LIGHTSPEED VCT (64 SLICE) (CSPG30),GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,1,865324.8,2025-09
GE PRECISION FRONTIER CT SCANNER FOR E.D.,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,863472.9,2024-04
Q# 2009927311.7,GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,1,860855.56,2023-12
GE CT LIGHTSPEED VCT SN:425899EDVCT,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,855795.0,2024-06
GE CT LIGHTSPEED VCT (64 SLICE) (CGS071) SYSTEM ID,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,855795.0,2024-02
"GE LIGHTSPEED VCT STANDARD, UNIVERSAL PLUS SERVICE",UNKNOWN,GE PRECISION HEALTHCARE LLC,1,853890.0,2023-12
RADIOLOGY EQUIP-CT,UNKNOWN,GE HEALTHCARE,8,832059.6,2025-05
"GOLDSEAL REVOLUTION EVO EX, WITH HEAVY 2000 675 TA",GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,2,786678.54,2023-11
CT EXPERIENCE WITH THE REVOLUTION ASCEND PLATFORM,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,749265.06,2025-03
REPLACEMENT OF CT SCANNER CG,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,747911.85,2024-06
REVOLUTION ASCEND IR CT & ACCESSORIES - GE QUOTE #,GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,1,743160.3,2023-12
REVOLUTION ASCEND,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,739854.0,2024-06
REVOLUTION ASCEND - NET PRICE (YEAR 1),UNKNOWN,GE PRECISION HEALTHCARE LLC,1,725394.26,2024-08
GOLDSEAL OPTIMA 660,NULL,GE PRECISION HEALTHCARE LLC,8,716400.0,2024-06
REVOLUTION ASCEND DIGITAL CT 72KW,GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,1,710819.25,2024-01
S7880FG REVOLUTION ASCEND PLUS 72KW,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,710057.06,2025-02
REVOLUTION MAXIMA 72KW AND ACCESSORIES AS LISTED I,GE HEALTHCARE,GE PRECISION HEALTHCARE LLC,1,688020.2,2024-07
"CT, REVOLUTION ASCEND PLUS 72KW DIGITAL",UNKNOWN,GE HEALTHCARE INC,1,680697.71,2025-02
CT REPLACEMENT,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,677661.84,2025-06
REVOLUTION ASCEND WIDE-BORE CT SYSTEM,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,674043.4,2024-06
CT ASCEND,GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,1,667466.73,2025-05
"GE REVOLUTION RT SIM EQUIPMENT, QUOTE: 2011684695.6 DATED 7-7-25.",UNKNOWN,GE PRECISION HEALTHCARE LLC,1,665524.0,2025-08
FRONTIER LIFT FOR VCT,NULL,GE PRECISION HEALTHCARE LLC,1,659022.2,2024-10
REVOLUTION MAXIMA 72KW,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,639470.93,2025-09
UNIVERSAL STANDARDGEHC CT GE CT OPTIMA CT660-32 SLICE SCALABLE PLATFORM TO 128 SLICES (CSP168)SYSTEM,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,631630.0,2025-02
REVOLUTION ASCEND PLUS 72KW CT,UNKNOWN,GE HEALTHCARE,1,631257.06,2024-08
CT UNIT,GE HEALTHCARE,GE PRECISION HEALTHCARE LLC,1,625217.85,2024-12
GOLDSEAL REV APEX EX 160,NULL,GE PRECISION HEALTHCARE LLC,1,613944.0,2024-09
REVOLUTION MAXIMA HIGH POWER,GE HEALTHCARE,GE PRECISION HEALTHCARE LLC,1,604622.12,2024-10
REVOLUTION MAXIMA CT,GE HEALTHCARE,GE PRECISION HEALTHCARE LLC,1,597653.09,2024-01
S7891AP DISCOVERY RT GEN 3 EX,UNKNOWN,GE MEDICAL SYSTEMS,1,588914.95,2025-06
DISCOVERY RT GEN EX,UNKNOWN,GE HEALTHCARE,1,588914.95,2024-08
REVOLUTION ASCEND 80% LINE,GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,1,585875.19,2025-08
"NM/CT 850 3/8 INCH DETECTOR, NM LEHRS COLL W/ CART",GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,1,580156.2,2025-05
80% ON DELIVERY-DISCOVERY RT GEN 3 EX AND ACCESSOR,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,574239.2,2024-06
GE CT MACHINE,UNKNOWN,GE HEALTHCARE,2,571589.0,2025-06
WALTHAM GE CT SERVICE AGREEMENT,UNKNOWN,GE HEALTHCARE,1,562530.0,2025-09
ULTRASOUND PROBE SERVICE,UNKNOWN,GE PRECISION HEALTHCARE LLC,4,545949.8099999999,2025-03
GE OPTIMA 660 SERVICE RENEWAL,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,526173.33,2023-12
REVOLUTION ASCEND 72KW,UNKNOWN,GE HEALTHCARE,1,525500.0,2023-11
CT - REVOLUTION MAXIMA GE,GE HEALTHCARE,GE MEDICAL SYSTEMS,1,498470.0,2025-04
REVOLUTION MAXIMA 72KW,GE HEALTHCARE,GE PRECISION HEALTHCARE LLC,1,478400.0,2025-02
REVOLUTION MAXIMA CT AND ACCESSORIES FOR CANCER SERVICE LINE PROJECT,MISC MANUFACTURER,GE PRECISION HEALTHCARE LLC,3,443558.4,2025-06
GE CT LIGHTSPEED VCT (64 SLICE) (CSPG01),UNKNOWN,GE HEALTHCARE,15,440119.55000000005,2024-07
REVOLUTION APEX POWER XTREAM,MISC MANUFACTURER,GE PRECISION HEALTHCARE LLC,1,386550.59,2024-05
SERVICE CONTRACT ON CT REVOLUTION EVO (EL) SCANNER,GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,42,384951.88999999996,2025-09
"GOLDSEAL REVOLUTION EVO EX, WITH 1700 TABLE, 128 S",GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,2,370000.0,2023-12
GE MAXIMA CT SCANNER,UNKNOWN,GE HEALTHCARE,1,325862.61,2024-08
GE REVOLUTION APEX PLUS POWER PRO CT20% ON ACCEPTA,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,306108.03,2025-02
SR: FLASH PAD XR220,UNKNOWN,GE HEALTHCARE,12,300195.25,2025-08
SR: 1-551116772351 - PHYSICIST ACCEPTANCE - CT TRAILER UPGRADE,UNKNOWN,GE HEALTHCARE,1,295376.49,2024-09
SR: POWEREDGE R940 - [AMER_R94,UNKNOWN,DELL FINANCIAL SERVICE LLC,24,294618.9600000001,2025-09
FOR CT SCANNERS,UNKNOWN,GE MED SYSTEMS,1,287700.0,2024-03
CT SMART SUBSCRIPTION RENEWAL,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,285000.0,2024-07
SR: PERFORMIX PRO VCT 100 GREE,UNKNOWN,GE HEALTHCARE,3,273000.0,2025-04
SERVICE CONTRACT GE CT OPTIMA 660 SYS:5627,GE HEALTHCARE,"HEALTHCARE TECHNOLOGY CONSULTING, LLC",2,265200.0,2025-08
CT 3 TUBE REPLACEMENT- WORK AL,GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,1,260638.3,2024-05
REVOLUTION EVO 3.6 LONG BJG,GE MEDICAL SYSTEMS,GE PRECISION HEALTHCARE LLC,30,253660.67000000007,2025-09
GE CTCT OPTIMA CT660 / SCALABLE PLATFORM UP TO 128 SLICES(CSPG70),UNKNOWN,GE PRECISION HEALTHCARE LLC,4,252592.37,2025-09
CT TUBE EQUIPMENT,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,246297.69,2024-01
ADD ASCEND CT 423408ASCEND1 TO GE MASTER AGREEMENT,UNKNOWN,GE HEALTHCARE,1,217960.0,2025-09
SOFTWARE MAINTENANCE,UNAVAILABLE,GE PRECISION HEALTHCARE LLC,10,210833.17999999996,2025-09
QUANTIX 160 X-RAY TUBE - ED CT SCANNER,UNKNOWN,GE HEALTHCARE,1,210000.0,2024-12
C1 SINGLE CENTER MODULE NEW HD,UNKNOWN,GE HEALTHCARE,3,209541.59999999998,2025-09
GE CT UPGRADE SMART SUBSCRIPTION FOR 2 CT OPTIMA 6,UNKNOWN,GE HEALTHCARE,1,191999.88,2025-03
REVOLUTION EVO IB OPTIONS - QUOTE#2006637111.6,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,186689.1,2024-09
"SID 980993CT1, GE CT REVOLUTION APEX (C#15K), ASSUREPOINT IN-HOUSE PARTS",UNKNOWN,GE PRECISION HEALTHCARE LLC,22,185378.13000000006,2025-06
APEX 160 2.5PRO NG2000V HWSO,GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,13,183424.57,2025-09
QUOTE - #0662200 - SID: 704403REV -  NCRC REVOLUTION APEX CT ASSUREPOINT INHOUSE PARTS,UNKNOWN,GE HEALTHCARE INC,21,182152.32000000007,2025-06
TOSHIBA CT AQUILION 64,GE MEDICAL SYSTEMS,GE PRECISION HEALTHCARE LLC,31,177937.56000000003,2025-09
X-RAY TUBE FOR ILLINI CT SCANNER,UNKNOWN,GE HEALTHCARE,1,175000.0,2025-03
UNKNOWN,UNKNOWN,GE PRECISION HEALTHCARE LLC,27,170975.70999999996,2025-09
CT REVOLUTION EVO,NULL,GE PRECISION HEALTHCARE LLC,20,168986.59999999998,2025-08
SR: ANGIO DETECTOR,UNKNOWN,GE HEALTHCARE,1,162661.8,2024-05
CT TOSHIBA SCANNER,GE HEALTHCARE,GE HEALTHCARE,1,157226.0,2025-03
CT SCANNER,NULL,GE HEALTHCARE FINANCIAL SVCS,12,156752.51999999996,2024-12
UNKNOWN,UNKNOWN,GE MEDICAL SYSTEMS ULTRASOUND,4,155237.5,2025-06
PERFORMIX ULTRA TUBE,UNKNOWN,GE HEALTHCARE,1,150000.0,2024-11
"SID 704512APEX1, GE CT REVOLUTION APEX (C#15K), ASSUREPOINT INHOUSE PARTS, 120 MONTHS - 2/8/24 ? 10",UNKNOWN,GE PRECISION HEALTHCARE LLC,20,149529.61000000002,2025-06
SID 704895CTEVO - GE REVOLUTION EVO CT @ CIS HUNTERSVILLE HP,UNKNOWN,GE HEALTHCARE INC,21,147594.93,2025-06
GE CT REVOLUTION EVO EL/EX/ES(CS,GE HEALTHCARE,GE HEALTHCARE,1,147101.0,2024-05
REVOLUTION ASCEND 20% LINE,GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,1,146468.8,2025-08
20% UPON ACCEPTANCE-DISCOVERY RT GEN 3 EX AND ACCE,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,143559.8,2024-06
SID 704697EVO2 - GE REVOLUTION EVO CT @ CIS BALLANTYNE,UNKNOWN,GE HEALTHCARE INC,21,140567.07,2025-06
SID 704697EVO - GE REVOLUTION EVO CT @ CIS BALLANTYNE,UNKNOWN,GE HEALTHCARE INC,21,140567.07,2025-06
SERIAL # 704333REVCT - GE CT REVOLUTION EVO EL/EX/ES - RITM 370851 - QUOTE # 0DEA6E4 - THROUGH 5/31,UNKNOWN,GE HEALTHCARE INC,22,140566.6,2025-05
GE CT GE CT OPTIMA CT660 - 64 SLICE / SCALABLE PLATFORM FROM 64 TO 128 SLICES (CSPI75),GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,11,138557.34,2025-09
MIO64 Z820 COMPUTER,UNKNOWN,GE HEALTHCARE,2,137981.02,2025-05
SID 478633ECVCT GE LIGHTSPEED VCT CT @ MEDICAL CENTER NAVICENT HEALTH - 200-21300 CT - MONTHS 2-44,UNKNOWN,GE HEALTHCARE INC,20,136983.4,2025-05
OPTIMA 540 ASIR/MILLENUM MG SE,GE HEALTHCARE,GE HEALTHCARE,1,135207.0,2024-12
SERVICE 4359738 - OPTIMA 660 S,UNKNOWN,GE HEALTHCARE,1,135000.0,2025-06
MXR-105152 GE- OPTIMA 660 64 M,UNKNOWN,MXR IMAGING INC,5,135000.0,2025-02
SR: PERFORMIX 40 PLUS GREEN TU,UNKNOWN,GE HEALTHCARE,1,135000.0,2025-05
SID: 704667EVO GE REVOLUTION EVO CT @ PINEVILLE HP CT DEPARTMERNT - MONTHS 2-49,UNKNOWN,GE HEALTHCARE INC,20,133873.4,2025-05
SID 478BKOCCT GE REVOLUTION EVO CT @ MEDICAL CENTER NAVICENT HEALTH 200-21500 BEVERLY KNIGHT CHILDR,UNKNOWN,GE HEALTHCARE INC,20,133873.4,2025-05
SR: DTS3,UNKNOWN,GE HEALTHCARE,2,133332.0,2025-04
SERVICE CONTRACT GE CT OPTIMA 660 SYS:5627 LA-31060,GE HEALTHCARE,"HEALTHCARE TECHNOLOGY CONSULTING, LLC",1,132600.0,2025-01
CT REVOLUTION ASCEND 72KW SYST,NULL,GE PRECISION HEALTHCARE LLC,11,131614.33,2025-09
SERIAL #980212EVO - MODEL: GE CTREVOLUTION EVO EL/EX/ES (CSPL54) - CSS-PS-5136 - SERVICE 1.27.24 TH,UNKNOWN,GE PRECISION HEALTHCARE LLC,18,126509.94000000002,2025-06
GE CT SMART SUBSCRIPTION CONNECTION APEX,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,126000.0,2025-01
20% FINAL PAYMENT LINE FOR CT - PAY IN JULY 2025,GE HEALTHCARE,GE MEDICAL SYSTEMS,1,124616.49,2025-04
SID 704994REVO - GE REVOLUTION EVO ES 64 CT @ ANSON,UNKNOWN,GE HEALTHCARE INC,21,124089.0,2025-06
RT REFRESH GEN 3 UPGRADE WITH SMART 20,UNKNOWN,GE PRECISION HEALTHCARE LLC,2,119600.0,2025-02
SID 478454EVO GE REVOLUTION EVO CT @ BALDWIN NAVICENT HEALTH 260-21300 CT - MONTHS 2-44,UNKNOWN,GE HEALTHCARE INC,20,118180.0,2025-05
OPERATIONAL EXPENSE - CT SMART SUBSCRIPTION CONNEC,GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,1,117922.19,2023-12
SR: KITTYHAWK XA DETECTOR FRU,UNKNOWN,GE HEALTHCARE,2,114050.3,2024-11
PREMUIUM CT SCAN WITH ACCESSORIES AND TRAINING,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,106578.15,2025-07
SERVICE-GEHC_CT_REVOLUTION_MAXIMA_(CSPL75),UNKNOWN,GE PRECISION HEALTHCARE LLC,1,105477.0,2025-06
SERVICE - GEHC CT REVOLUTION MAXIMA (CSPL75),UNKNOWN,GE PRECISION HEALTHCARE LLC,1,105477.0,2025-06
PET/CT SYSTEM LAUNCH CLASSIC ADVANCED/CARDIAC APPLICATIONS TRAINING PROGRAM - 80% INVOICE,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,104141.6,2025-04
SID 980487KMCT - GE OPTIMA 660 CT @ KMH,UNKNOWN,GE HEALTHCARE INC,24,102175.78,2025-06
PERFORMIX ULTRA GREEN,UNKNOWN,GE HEALTHCARE,1,96808.51,2025-05
GE CT REVOLUTION EVO EL/EX/ES (CGS117),GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,8,96623.36,2025-09
"OPTIMA 660 ANNUAL SUBSCRIPTION 3 YRS. TERM $32,000",UNKNOWN,GE PRECISION HEALTHCARE LLC,1,96000.0,2024-11
3 YEAR GE SMART SUBSCRIPTION FOR GE OPTIMA CT SCAN,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,96000.0,2024-11
SMART SUBSCRIPTION FEE3 YEARS QUOTE 2011178966.9,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,96000.0,2025-04
SR: COLLECTOR FOR GDXR CONSOLE,UNKNOWN,GE HEALTHCARE,2,95247.0,2024-05
SR: MX135 VENUS,UNKNOWN,GE HEALTHCARE,3,91540.0,2023-12
PERFORMIX PRO VCT TUBE,UNKNOWN,GE HEALTHCARE,1,91000.0,2024-03
SID 704403KAN - GE OPTIMA 540 16 CT @ KANNAPOLIS HP,UNKNOWN,GE HEALTHCARE INC,21,88252.5,2025-06
QUOTE - #0662200 - SID: 704403REV -  NCRC REVOLUTION APEX CT SMART SUBSCRIPTION,UNKNOWN,GE HEALTHCARE INC,21,87500.06999999998,2025-06
ASSUREPOINT STANDARD SERVICE CONTRACT ON OPTIMA 640 CT,SERVICE CONTRACT,GE HEALTHCARE,2,87311.04,2025-07
"SID 980993CT1, GE CT REVOLUTION APEX (C#15K), SMART SUBSCRIPTION",UNKNOWN,GE PRECISION HEALTHCARE LLC,48,84274.23000000001,2025-06
MOBILE GE LIGHTSPEED VCT 64 SE,UNKNOWN,MXR IMAGING INC,3,84000.0,2024-07
GE TIP CT SCANNER 1 TRAINING PROGRAM -QUOTE#200949,UNKNOWN,GE MEDICAL SYSTEMS INFO TECH,3,83112.33,2024-04
SID 704CMCHCT - GE OPTIMA 540 16 CT @ HARRISBURG HP,UNKNOWN,GE HEALTHCARE INC,21,80517.56999999998,2025-06
ORDER FOR CT SCANNER UPGRADE AS PER SPECIFICATIONS ON QUOTE,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,79807.56,2025-07
CT SCANNER TRAINING & WARRANTY,UNKNOWN,GE PRECISION HEALTHCARE LLC,1,76578.15,2024-07
SERV AGREE GE EVO CT SCANNER,NULL,GE PRECISION HEALTHCARE LLC,18,75511.24000000002,2025-09
SID 704543RT590 - GE DISCOVERY RT 590 CT @ PINEVILLE LCI  RAD THERAPY,UNKNOWN,GE HEALTHCARE INC,21,75272.81999999998,2025-06
SID 704381RT590 - GE DISCOVERY TRT 4 590 CT @ MMP2 ONCOLOGY/RADIATION THERAPY,UNKNOWN,GE HEALTHCARE INC,21,75272.81999999998,2025-06
SR: VOLUMERAD SYSTEM PC WORKST,UNKNOWN,GE HEALTHCARE,2,75038.4,2025-08
PERFORMANCE PET/CT SYSTEM LAUNCH CLASSIC TRAINING,GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,1,73960.0,2025-09
EMERGENCY SERVICE ON CT SYS ID# M69376CT540,UNKNOWN,GE HEALTHCARE INC,1,73539.26,2024-09
"GE CT DISCOVERY RT SERVICE CONTRACT ADDENDUMEFFECTIVE DATE:  01/04/24 - 05/31/2025MONTH 1:  $3,665.",UNKNOWN,GE PRECISION HEALTHCARE LLC,22,72649.85999999999,2025-06
GE CT OPTIMA 660 TABLE REPAIR WO: 366507  CONTROL:LA-1692,GE HEALTHCARE,"HEALTHCARE TECHNOLOGY CONSULTING, LLC",2,72250.0,2025-07
SID 803336CT590 - GE DISCOVERY TR 590 CT @ ROCK HILL RADIATION THERAPY,UNKNOWN,GE HEALTHCARE INC,20,71688.39999999998,2025-05
SID 478994BSCT GE BRIGHTSPEED 16 SLICE CT @ MEDICAL CENTER NAVICENT HEALTH 200-51500 DIAGNOSTICS MO,UNKNOWN,GE HEALTHCARE INC,20,71095.0,2025-05
CT DEVICE MAINTANENCE- SEPTEMBER 2025,10177,GE PRECISION HEALTHCARE LLC,1,69127.82,2025-09
GE CT LIGHTSPEED 16 (CSPE04),UNKNOWN,GE HEALTHCARE,7,69106.34,2024-06
HP Z820 COMPUTER,UNKNOWN,GE HEALTHCARE,1,68990.51,2025-01
SID 980212CT - GE OPTIMA 540 16 CT @  LMC CT,UNKNOWN,GE HEALTHCARE INC,21,66500.06999999998,2025-06
CT DEVICE MAINTANENCE- AUGUST 2025,10177,GE PRECISION HEALTHCARE LLC,1,65834.96,2025-08
SR: PERFORMIX ULTRA GREEN TUBE,UNKNOWN,GE HEALTHCARE,1,65000.0,2024-07
SID #704993OPT540 - MODEL: GE ACUTE OPTIMA 540 16 CT @ UNION CT,UNKNOWN,GE HEALTHCARE INC,20,63333.39999999998,2025-05
MAXIRAY CT TUBE,UNKNOWN,GE HEALTHCARE,1,62425.0,2024-04
CT VCT TUBE,GE PRECISION HEALTHCARE LLC,GE PRECISION HEALTHCARE LLC,1,62425.0,2023-10
APPLICATIONS TRAINING TIP CT SCANNER TRAINING PROG,GE MEDICAL SYSTEMS INFO TECH,GE MEDICAL SYSTEMS INFO TECH,1,62165.78,2023-10
SR: MAXIRAY CT TUBE,UNKNOWN,GE HEALTHCARE,3,62000.0,2025-04
DISCOVERY RT MID WAUK,UNKNOWN,GE PRECISION HEALTHCARE,4,61706.0,2025-08
SID 704844BSCT - GE BRIGHTSPEED 16 CT @ CIS MATTHEWS,UNKNOWN,GE HEALTHCARE INC,23,61074.93000000002,2025-06
SR: HV TANK,UNKNOWN,GE HEALTHCARE,5,61071.72,2025-08
SR: HP 8200 COMPUTER,UNKNOWN,GE HEALTHCARE,2,60498.0,2024-06
