transaction_date,reference_number,manufacturer_catalog_number,facility_vendor_catalog_num,facility_product_description,vendor_name,landed_spend,base_spend,quantity,pkg_uom
2025-06-26 00:00:00+00:00,34813,2D0737,2D0737,SOLUTION INHALATION AIRLIFE WATER 2000 ML DEHP CON,"CARDINAL HEALTH 414, LLC",52.88,52.88,1.0,CA
2025-06-26 00:00:00+00:00,34813,2D0737,BXT2D0737,WATER STERILE 2000 ML BAG INHA,"MEDLINE INDUSTRIES, LP",264.0,264.0,8.0,CA
2025-06-26 00:00:00+00:00,34813,2D0737,61352D0737,WATER STERILEINHALATION 2000M,"OWENS & MINOR DISTRIBUTION, INC.",66.0,66.0,2.0,CA
2025-08-18 00:00:00+00:00,34813,2D0737,BXT2D0737,HFNC STERILE WATER FO INH 2000,"MEDLINE INDUSTRIES, LP",265.7,265.7,5.0,CA
2025-08-18 00:00:00+00:00,34813,2D0737,2D0737,SOL INHAL H2O 2L 1 STP SETUP F,"CARDINAL HEALTH 414, LLC",264.4,264.4,5.0,CA
2025-08-18 00:00:00+00:00,34813,2D0737,2D0737,SOLUTION F/ INHALATION 2000 ML,"CARDINAL HEALTH 200, LLC",317.28,313.363,6.0,CA
2025-08-18 00:00:00+00:00,34813,2D0737,BXT2D0737,WATER STER F/INHALATION 2000ML BG,"MEDLINE INDUSTRIES, LP",995.1,995.1,30.0,CA
2025-08-18 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLUTION WATER STERILE 2000ML INHALATION,"MEDLINE INDUSTRIES, LP",100.5,100.5,3.0,CA
2025-08-18 00:00:00+00:00,34813,2D0737,BXT2D0737,WATER - STERILE FOR INHALATION - 2000MLS,"MEDLINE INDUSTRIES, LP",99.59,99.59,3.0,CA
2025-08-18 00:00:00+00:00,34813,2D0737,61352D0737,"SOLUTION, INHALATION 2000ML","OWENS & MINOR DISTRIBUTION, INC.",53.51,53.51,1.0,CA
2025-08-18 00:00:00+00:00,34813,2D0737,2D0737,IV STR WTR INH 2000ML 2D0737,UNKNOWN,211.52,211.52,4.0,CA
2025-08-18 00:00:00+00:00,34813,2D0737,BXT2D0737,WATER STERILE 2000 ML BAG INHA,"MEDLINE INDUSTRIES, LP",396.0,396.0,12.0,CA
2025-08-18 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLUTION INHALATION ARLF H2O FLEXIBLE BAG CNTNR 2000ML STERL,"MEDLINE INDUSTRIES, LP",99.0,99.0,3.0,CA
2025-08-18 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLUTION INHL H2O 2000ML FLXB BG CNTNR STRL LF ARL,"MEDLINE INDUSTRIES, LP",99.0,98.41,3.0,CA
2025-08-18 00:00:00+00:00,34813,2D0737,2D0737,SOLUTION INHALATION AIRLIFE WATER 2000 ML DEHP CON,"CARDINAL HEALTH 414, LLC",158.64,158.64,3.0,CA
2025-08-18 00:00:00+00:00,34813,2D0737,2D0737,SOLUTION INHALATION AIRLIFE WATER 2000 ML DEHP CON,"CARDINAL HEALTH 414, LLC",158.64,158.64,3.0,CA
2025-08-18 00:00:00+00:00,34813,2D0737,61352D0737,SOLN WATER F/INHALATION 2000ML,"OWENS & MINOR DISTRIBUTION, INC.",1320.0,1320.0,40.0,CA
2025-08-18 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLUTION IRR H2O 2000ML FLXB BAG F/INHAL AIRLIFE,"MEDLINE INDUSTRIES, LP",158.64,158.64,3.0,CA
2025-08-18 00:00:00+00:00,34813,2D0737,61352D0737,AIRLIFE WATER 2000 ML FLEXIBLE BAG STERILE LATEX FREE,"OWENS & MINOR DISTRIBUTION, INC.",66.0,66.0,2.0,CA
2025-09-07 00:00:00+00:00,34813,2D0737,2D0737,SOLUTION INHALATION AIRLIFE WATER 2000 ML DEHP CON,"CARDINAL HEALTH 414, LLC",211.52,211.52,4.0,CA
2025-09-07 00:00:00+00:00,34813,2D0737,61352D0737,SOLN WATER F/INHALATION 2000ML,"OWENS & MINOR DISTRIBUTION, INC.",66.0,66.0,2.0,CA
2025-01-20 00:00:00+00:00,34813,2D0737,61352D0737,SOLUTION INHAL 2000ML AIRLIFE H2O,"OWENS & MINOR DISTRIBUTION, INC.",378.0,378.0,12.0,CA
2025-01-20 00:00:00+00:00,34813,2D0737,61352D0737,SOLUTION INHAL 2000ML AIRLIFE H2O,"OWENS & MINOR DISTRIBUTION, INC.",63.0,63.0,2.0,CA
2025-01-20 00:00:00+00:00,34813,2D0737,61352D0737,SOLUTION INHAL 2000ML AIRLIFE H2O,"OWENS & MINOR DISTRIBUTION, INC.",315.0,315.0,10.0,CA
2025-01-20 00:00:00+00:00,34813,2D0737,BXT2D0737,HFNC STERILE WATER FO INH 2000,"MEDLINE INDUSTRIES, LP",531.4,531.4,10.0,CA
2025-01-20 00:00:00+00:00,34813,2D0737,BXT2D0737,HUMIDIFIER STR 2000ML 2D0737,"MEDLINE INDUSTRIES, LP",330.0,330.0,10.0,CA
2025-01-20 00:00:00+00:00,34813,2D0737,BXT2D0737,INHALATION SOLUTION STERILE 2000 ML,"MEDLINE INDUSTRIES, LP",105.76,105.76,2.0,CA
2025-01-20 00:00:00+00:00,34813,2D0737,2D0737,IV STR WTR INH 2000ML 2D0737,UNKNOWN,423.04,423.04,8.0,CA
2025-01-20 00:00:00+00:00,34813,2D0737,2D0737,IV STR WTR INH 2000ML 2D0737,UNKNOWN,423.04,423.04,8.0,CA
2025-01-20 00:00:00+00:00,34813,2D0737,61352D0737,SOLUTION  WATER STR/INHALATION 2000ML,"OWENS & MINOR DISTRIBUTION, INC.",33.0,33.0,1.0,CA
2025-01-20 00:00:00+00:00,34813,2D0737,2D0737,SOLUTION INHALATION 2 LT STERILE WATER 2000 ML FLE,"CARDINAL HEALTH 200, LLC",66.0,66.0,2.0,CA
2025-01-20 00:00:00+00:00,34813,2D0737,2D0737,SOLUTION INHALATION AIRLIFE WATER 2000 ML DEHP CON,"CARDINAL HEALTH 414, LLC",105.76,105.76,2.0,CA
2025-01-20 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLUTION INHALATION ARLF H2O FLEXIBLE BAG CNTNR 2000ML STERL,"MEDLINE INDUSTRIES, LP",132.0,132.0,4.0,CA
2025-01-20 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLUTION INHALATION ARLF H2O FLEXIBLE BAG CNTNR 2000ML STERL,"MEDLINE INDUSTRIES, LP",99.0,99.0,3.0,CA
2025-01-20 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLUTION RESP THERAPY AIRLIFE STRL WATER 2000ML IN,"MEDLINE INDUSTRIES, LP",105.76,105.76,2.0,CA
2025-01-20 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLUTION RESP THERAPY AIRLIFE STRL WATER 2LT FLEX BAG F/INHALATION 6/CA,"MEDLINE INDUSTRIES, LP",52.88,52.88,1.0,CA
2025-01-20 00:00:00+00:00,34813,2D0737,61352D0737,STERILE WATER INHALATION 2L BAG,"OWENS & MINOR DISTRIBUTION, INC.",135.1,135.1,4.0,CA
2025-01-20 00:00:00+00:00,34813,2D0737,BXT2D0737,WATER BG STERILE 2000ML 2D0737,"MEDLINE INDUSTRIES, LP",115.72,115.72,13.0,EA
2025-01-20 00:00:00+00:00,34813,2D0737,BXT2D0737,WATER BG STERILE 2000ML 2D0737,"MEDLINE INDUSTRIES, LP",53.41,53.41,6.0,EA
2025-01-20 00:00:00+00:00,34813,2D0737,BXT2D0737,WATER F/INHALATION 2000ML BAG,"MEDLINE INDUSTRIES, LP",528.8,528.8,10.0,CA
2025-01-20 00:00:00+00:00,34813,2D0737,2D0737,WATER INHALATION STR 2000ML,"CARDINAL HEALTH 414, LLC",528.8,528.8,10.0,CA
2025-01-20 00:00:00+00:00,34813,2D0737,BXT2D0737,WATER STERILE INHALATION 2000ML BAG,"MEDLINE INDUSTRIES, LP",265.05,265.05,5.0,CA
2025-06-19 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLN INHALATION WATER STERILE 2000ML,"MEDLINE INDUSTRIES, LP",30.6,30.6,1.0,CA
2025-06-19 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLN INHALATION WATER STERILE 2000ML,"MEDLINE INDUSTRIES, LP",61.2,61.2,2.0,CA
2025-06-19 00:00:00+00:00,34813,2D0737,2D0737,SOLUTION WATER STERILE 2L BAG,"CARDINAL HEALTH, MEDICAL PRODUCTS AND SERVICES",147.09,147.09,3.0,CA
2025-06-19 00:00:00+00:00,34813,2D0737,61352D0737,SOLUTION INHAL 2000ML AIRLIFE H2O,"OWENS & MINOR DISTRIBUTION, INC.",3244.5,3244.5,103.0,CA
2025-06-19 00:00:00+00:00,34813,2D0737,61352D0737,SOLUTION INHAL 2000ML AIRLIFE H2O,"OWENS & MINOR DISTRIBUTION, INC.",126.0,126.0,4.0,CA
2025-06-19 00:00:00+00:00,34813,2D0737,61352D0737,WATER VENTILATOR,"OWENS & MINOR DISTRIBUTION, INC.",221.62,221.62,7.0,CA
2025-06-19 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLUTION INHL ARLF H2O FLXB BG CNTNR 2000ML STRL LF,"MEDLINE INDUSTRIES, LP",264.4,264.4,5.0,CA
2025-06-19 00:00:00+00:00,34813,2D0737,BXT2D0737,WATER HUMIDIFIER AIRLIFE 2000ML FLEXIBLE BAG STERI,"MEDLINE INDUSTRIES, LP",1057.6,1057.6,20.0,CA
2025-06-19 00:00:00+00:00,34813,2D0737,2D0737,SOLUTION INHALATION STERILE WATER 2000 ML FLEXIBLE BAG AIRLIFE,"CARDINAL HEALTH 414, LLC",198.0,198.0,6.0,CA
2025-06-19 00:00:00+00:00,34813,2D0737,2D0737,SOLUTION INHALATION AIRLIFE WATER 2000 ML DEHP CON,"CARDINAL HEALTH 414, LLC",52.88,52.88,1.0,CA
2025-06-19 00:00:00+00:00,34813,2D0737,61352D0737,SOLUTION  WATER STR/INHALATION 2000ML,"OWENS & MINOR DISTRIBUTION, INC.",66.0,66.0,2.0,CA
2025-06-19 00:00:00+00:00,34813,2D0737,BXT2D0737,WATER SOLUTION F/INHALE FLEX S,"MEDLINE INDUSTRIES, LP",273.0,273.0,30.0,EA
2025-06-19 00:00:00+00:00,34813,2D0737,BXT2D0737,WATER STERILE 2000 ML BAG INHA,"MEDLINE INDUSTRIES, LP",396.0,396.0,12.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,61352D0737,SOLUTION STERILE WATER 2000ML,"OWENS & MINOR DISTRIBUTION, INC.",105.76,105.76,2.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,61352D0737,"SOLUTION, INHALATION 2000ML","OWENS & MINOR DISTRIBUTION, INC.",53.49,53.49,1.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,2D0737,SOL H20 FOR INHALATION 2000ML,"CARDINAL HEALTH 200, LLC",1359.6,1359.6,40.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLUTION INHALATION ARLF H2O FLEXIBLE BAG CNTNR 20,"MEDLINE INDUSTRIES, LP",99.0,99.0,3.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,821488,WATER BAG STERILE VAPO 2000ML,CONCORDANCE HEALTHCARE SOLUTIONS LLC,174.5,174.5,5.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,BXT2D0737,"WATER,STERILE,2000 ML,BAG,INHALATIO","MEDLINE INDUSTRIES, LP",49.51,49.51,1.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,2D0737,WATER STER 2000ML INHALATION,"CARDINAL HEALTH 200, LLC",33.4,33.004,1.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,UNKNOWN,2000ML STERILE WATER FOR INHAL,"MEDLINE INDUSTRIES, LP",319.2,319.2,10.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,2D0737,HUMID WATER-2000CC,"CARDINAL HEALTH 414, LLC",105.76,105.76,2.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,2D0737,HUMID WATER-2000CC,"CARDINAL HEALTH 414, LLC",211.52,211.52,4.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,61352D0737,61352D0737:SOLUTION  FOR  INHA,"OWENS & MINOR DISTRIBUTION, INC.",44.0,44.0,8.0,EA
2024-02-26 00:00:00+00:00,34813,2D0737,821488,SOLUTION  WATER STR/INHALATION 2000ML,CONCORDANCE HEALTHCARE SOLUTIONS LLC,33.0,33.0,1.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLUTION INHALATION AIRLIFE WATER 2L FLEXIBLE BG R,"MEDLINE INDUSTRIES, LP",30.3,30.3,1.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,2D0737,IV STR WTR INH 2000ML 2D0737,UNKNOWN,158.64,158.64,3.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,2D0737,SOL INHAL STRL H2O 2000ML BG,"CARDINAL HEALTH, MEDICAL PRODUCTS AND SERVICES",303.0,303.0,10.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,2D0737,SOL INHAL STRL H2O 2000ML BG,"CARDINAL HEALTH, MEDICAL PRODUCTS AND SERVICES",60.6,60.6,2.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,2D0737,SOL INHAL STRL H2O 2000ML BG,"CARDINAL HEALTH, MEDICAL PRODUCTS AND SERVICES",60.6,60.6,2.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,61352D0737,SOLN WATER F/INHALATION 2000ML,"OWENS & MINOR DISTRIBUTION, INC.",1320.0,1320.0,40.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,61352D0737,SOLN WATER F/INHALATION 2000ML,"OWENS & MINOR DISTRIBUTION, INC.",99.0,99.0,3.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLUTION WATER STERILE 2000ML INHALATION,"MEDLINE INDUSTRIES, LP",67.0,67.0,2.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLUTION INHALATION AIRLIFE FLXB CONTAINER MBO WAT,HOSPITALS SERVICES EXPENSES,264.0,264.0,48.0,EA
2024-02-26 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLUTION INHALATION AIRLIFE FLXB CONTAINER MBO WAT,HOSPITALS SERVICES EXPENSES,264.0,264.0,8.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,BXT2D0737,WATER SOL F/INHALATION 2000ML BAG,"MEDLINE INDUSTRIES, LP",160.23,160.23,3.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLUTION INHL ARLF H2O FLXB BG CNTNR 2000ML STRL L,"MEDLINE INDUSTRIES, LP",52.88,52.88,1.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,BXT2D0737,SOL H2O INHALATION 2000ML   2D,"MEDLINE INDUSTRIES, LP",198.0,198.0,6.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,2D0737,SOL INHAL H2O 2L 1 STP SETUP F,"CARDINAL HEALTH 414, LLC",317.28,317.28,6.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,61352D0737,SOLUTION INHALATION WATER FLEXIBLE BAG CONTAINER 2,"OWENS & MINOR DISTRIBUTION, INC.",55.0,55.0,10.0,EA
2024-02-26 00:00:00+00:00,34813,2D0737,61352D0737,SOLUTION INHALATION WATER FLEXIBLE BAG CONTAINER 2,"OWENS & MINOR DISTRIBUTION, INC.",99.0,99.0,18.0,EA
2024-02-26 00:00:00+00:00,34813,2D0737,61352D0737,SOLUTION INHALATION WATER FLEXIBLE BAG CONTAINER 2,"OWENS & MINOR DISTRIBUTION, INC.",528.0,528.0,96.0,EA
2024-02-26 00:00:00+00:00,34813,2D0737,61352D0737,SOLUTION INHALATION WATER FLEXIBLE BAG CONTAINER 2,"OWENS & MINOR DISTRIBUTION, INC.",55.0,55.0,10.0,EA
2024-02-26 00:00:00+00:00,34813,2D0737,61352D0737,SOLUTION INHALATION WATER FLEXIBLE BAG CONTAINER 2,"OWENS & MINOR DISTRIBUTION, INC.",55.0,55.0,10.0,EA
2024-02-26 00:00:00+00:00,34813,2D0737,61352D0737,SOLUTION INHALATION WATER FLEXIBLE BAG CONTAINER 2,"OWENS & MINOR DISTRIBUTION, INC.",99.0,99.0,3.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,BXT2D0737,BAG STERILE WATER F/ INHALATIO,"MEDLINE INDUSTRIES, LP",17.94,17.588,2.0,EA
2024-02-26 00:00:00+00:00,34813,2D0737,BXT2D0737,BAG STERILE WATER F/ INHALATIO,"MEDLINE INDUSTRIES, LP",269.05,263.775,5.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,BXT2D0737,BAG STERILE WATER F/ INHALATIO,"MEDLINE INDUSTRIES, LP",44.85,43.971,5.0,EA
2024-02-26 00:00:00+00:00,34813,2D0737,2D0737,WATER INHALATION STR 2000ML,"CARDINAL HEALTH 414, LLC",52.88,52.88,1.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,61352D0737,SOL INHL WTR 2L FLEX BAG STRL,"OWENS & MINOR DISTRIBUTION, INC.",158.64,158.64,3.0,CA
2024-02-26 00:00:00+00:00,34813,2D0737,BXT2D0737,WATER BAG,"MEDLINE INDUSTRIES, LP",217.32,217.32,4.0,CA
2024-11-16 00:00:00+00:00,34813,2D0737,BXT2D0737,SOL INHAL H2O STRL BG 2L,"MEDLINE INDUSTRIES, LP",60.6,60.6,2.0,CA
2024-11-16 00:00:00+00:00,34813,2D0737,BXT2D0737,STERILE WATER 2000ML BG,"MEDLINE INDUSTRIES, LP",147.09,147.09,3.0,CA
2024-11-16 00:00:00+00:00,34813,2D0737,61352D0737,SOLN WATER F/INHALATION 2000ML,"OWENS & MINOR DISTRIBUTION, INC.",99.0,99.0,3.0,CA
2024-11-16 00:00:00+00:00,34813,2D0737,61352D0737,EM: SOLUTION INHAL 2000ML FLXB,"OWENS & MINOR DISTRIBUTION, INC.",198.0,198.0,6.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,2D0737,SOLUTION WATER STERILE 2L BAG,"CARDINAL HEALTH, MEDICAL PRODUCTS AND SERVICES",148.77,148.77,3.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,BXT2D0737,SOL INHL H2O 2L FLXB BG STRL - 2000 ML (6/CS),"MEDLINE INDUSTRIES, LP",564.0,564.0,20.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,BXT2D0737,FLUID STERILE WATER 2000ML (SUB 2B0306),"MEDLINE INDUSTRIES, LP",367.2,367.2,12.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,61352D0737,WATER FILL CIRCUIT 2L 2D0737,"OWENS & MINOR DISTRIBUTION, INC.",66.628,66.628,12.0,EA
2024-03-12 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLUTION INHL ARLF H2O FLXB BG CNTNR 2000ML STRL LF,"MEDLINE INDUSTRIES, LP",199.2,199.2,6.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,2D0737,INHALATION STERILE WATER 2000M,SUN MEDICAL,173.91,173.91,3.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,2D0737,WATER STERILE F/INHALATION 200,"CARDINAL HEALTH 414, LLC",33.0,33.0,1.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,61352D0737,SOLUTION INHALATION WATER FLEXIBLE BAG CONTAINER 2,"OWENS & MINOR DISTRIBUTION, INC.",99.0,99.0,18.0,EA
2024-03-12 00:00:00+00:00,34813,2D0737,2D0737,WATER STERILE F/INHALATION 200,"CARDINAL HEALTH 414, LLC",33.0,33.0,1.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,2D0737,STERILE WATER 2000ML BAG,"CARDINAL HEALTH, MEDICAL PRODUCTS AND SERVICES",104.5,104.5,2.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,61352D0737,61352D0737:SOLUTION  FOR  INHA,"OWENS & MINOR DISTRIBUTION, INC.",99.0,99.0,18.0,EA
2024-03-12 00:00:00+00:00,34813,2D0737,61352D0737,61352D0737:SOLUTION  FOR  INHA,"OWENS & MINOR DISTRIBUTION, INC.",33.0,33.0,6.0,EA
2024-03-12 00:00:00+00:00,34813,2D0737,61352D0737,"SOLUTION, INHALATION 2000ML","OWENS & MINOR DISTRIBUTION, INC.",160.47,160.47,3.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,BXT2D0737,SOL INHAL H2O STRL BG 2L,"MEDLINE INDUSTRIES, LP",60.6,60.6,2.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLUTION INHALATION AIRLIFE FLXB CONTAINER MBO WAT,"MEDLINE INDUSTRIES, LP",2640.0,2640.0,80.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,61352D0737,SOLUTION INHALATION WATER FLEXIBLE BAG CONTAINER 2,"OWENS & MINOR DISTRIBUTION, INC.",99.0,99.0,3.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,2D0737,WATER STERILE FOR RESP ERAP.,CARDINAL HEALTH 213 INC,27.5,27.5,5.0,EA
2024-03-12 00:00:00+00:00,34813,2D0737,2D0737,WATER STERILE F/INHALATION 200,"CARDINAL HEALTH 414, LLC",33.0,33.0,1.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,61352D0737,61352D0737:SOLUTION  FOR  INHA,"OWENS & MINOR DISTRIBUTION, INC.",99.0,99.0,3.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,2D0737,SOLUTION INHALATION AIRLIFE WATER 2000 ML DEHP CON,"CARDINAL HEALTH 414, LLC",264.4,264.4,5.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,61352D0737,61352D0737:SOLUTION  FOR  INHA,"OWENS & MINOR DISTRIBUTION, INC.",1650.0,1650.0,50.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,821488,SOLUTION  WATER STR/INHALATION 2000ML,CONCORDANCE HEALTHCARE SOLUTIONS LLC,132.0,132.0,4.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,61352D0737,61352D0737:SOLUTION  FOR  INHA,"OWENS & MINOR DISTRIBUTION, INC.",33.0,33.0,6.0,EA
2024-03-12 00:00:00+00:00,34813,2D0737,BXT2D0737,WATER STERILE INHALATION 2000ML AIRLIFE,"MEDLINE INDUSTRIES, LP",53.67,53.67,1.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,BXT2D0737,SOL INHAL H2O STRL BG 2L,"MEDLINE INDUSTRIES, LP",151.5,151.5,5.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,61352D0737,SOLUTION INHALATION WATER FLEXIBLE BAG CONTAINER 2,"OWENS & MINOR DISTRIBUTION, INC.",165.0,165.0,5.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,61352D0737,61352D0737:SOLUTION  FOR  INHA,"OWENS & MINOR DISTRIBUTION, INC.",44.0,44.0,8.0,EA
2024-03-12 00:00:00+00:00,34813,2D0737,2D0737,SOL H20 STL BAG INHALAT 2000ML,"CARDINAL HEALTH 414, LLC",107.34,107.34,2.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,BXT2D0737,WATER INHALATION 2000CC,"MEDLINE INDUSTRIES, LP",198.0,198.0,6.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,2D0737,SOL INHAL STRL H2O 2000ML BG,"CARDINAL HEALTH, MEDICAL PRODUCTS AND SERVICES",60.6,60.6,2.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,2D0737,ECM SOL FOR INHALATION FLEX STER WATER 2000ML,"SUNMED GROUP HOLDINGS, LLC DBA AIRLIFE",33.0,33.0,1.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLUTION INHL ARLF H2O FLXB BG CNTNR 2000ML STRL L,"MEDLINE INDUSTRIES, LP",26.43,26.43,3.0,EA
2024-03-12 00:00:00+00:00,34813,2D0737,61352D0737,SOL INHL WTR 2L FLEX BAG STRL,"OWENS & MINOR DISTRIBUTION, INC.",211.52,211.52,4.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,BXT2D0737,HUMIDIFIER STR 2000ML 2D0737,"MEDLINE INDUSTRIES, LP",99.0,99.0,3.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,2D0737,HFNC STERILE WATER FO INH 2000,CARDINAL HEALTH 213 INC,302.1,302.1,10.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,BXT2D0737,WATER HUMIDIFIER AIRLIFE 2000ML FLEXIBLE BAG STERI,"MEDLINE INDUSTRIES, LP",211.52,211.52,4.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,BXT2D0737,SOLUTION INHALATION AIRLIFE FLXB CONTAINER MBO WAT,HOSPITALS SERVICES EXPENSES,165.0,165.0,5.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,2D0737,WATER STER 2000ML INHALATION,"CARDINAL HEALTH 200, LLC",33.4,33.004,1.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,821488,SOLUTION  WATER STR/INHALATION 2000ML,CONCORDANCE HEALTHCARE SOLUTIONS LLC,66.0,66.0,2.0,CA
2024-03-12 00:00:00+00:00,34813,2D0737,61352D0737,61352D0737:SOLUTION  FOR  INHA,"OWENS & MINOR DISTRIBUTION, INC.",66.0,66.0,12.0,EA
2025-02-23 00:00:00+00:00,34813,2D0737,61352D0737,SOLN WATER F/INHALATION 2000ML,"OWENS & MINOR DISTRIBUTION, INC.",1320.0,1320.0,40.0,CA
