facility_id,month_year,reference_number,manufacturer_catalog_number,vendor_name,tae_spend,tae_units
FL2004,2024-11,11756373,63323086910,"FRESENIUS KABI USA, LLC",1861.2,66.0
KY0118,2025-11,421084611,65219046660,"MEDLINE INDUSTRIES, LP",270.0,3.0
MD0002,2025-08,421079338,65219047720,"MEDLINE INDUSTRIES, LP",703.98,18.0
TX2006,2024-12,420586440,65219014410,"FRESENIUS KABI USA, LLC",364.2,6.0
714818,2025-07,11329177,63323082476,"FRESENIUS KABI USA, LLC",23.0,1.0
714816,2025-11,421183301,416410,"FRESENIUS KABI USA, LLC",20.6,1.0
679062,2024-10,420586440,65219014410,MCKESSON PHARMACEUTICAL,115.8,20.0
799963,2024-12,11319861,63323062655,"FRESENIUS KABI, LLC",1086.8,26.0
TX2005,2025-01,11756373,63323086910,"FRESENIUS KABI USA, LLC",451.2,16.0
TX0156,2025-09,421183299,506030,"FRESENIUS KABI, LLC",2355.2,64.0
KY0074,2024-11,11329176,63323082475,"FRESENIUS KABI USA, LLC",125.39999999999999,3.0
843887,2025-12,11319858,63323062610,"MEDLINE INDUSTRIES, LP",20.1,1.0
KY0111,2025-09,12233541,63323068610,"MEDLINE INDUSTRIES, LP",160.8,4.0
TX0156,2025-11,421064699,65219046450,"FRESENIUS KABI, LLC",318.0,4.0
TX0134,2025-12,12121078,65219000601,"MEDLINE INDUSTRIES, LP",17281.7,100.0
TX2005,2025-03,11756373,63323086910,"CARDINAL HEALTH 105, INC. DBA SPECIALTY PHARMACEUTICAL SERVICES",137.72,4.0
714816,2025-12,11756373,63323086910,"FRESENIUS KABI USA, LLC",28.2,1.0
KY0084,2025-08,420668090,65219038910,"MEDLINE INDUSTRIES, LP",29.0,1.0
MD0002,2025-05,11756373,63323086910,"FRESENIUS KABI USA, LLC",406.4,16.0
KY0074,2024-10,420586437,65219011810,"FRESENIUS KABI USA, LLC",495.79999999999995,4.0
714757,2025-12,420586437,65219011810,"FRESENIUS KABI USA, LLC",134.0,4.0
TX0355,2025-02,420586440,65219014410,"FRESENIUS KABI USA, LLC",303.5,5.0
FL2221,2025-04,11756376,63323087010,"FRESENIUS KABI, LLC",56.4,1.0
635761,2025-12,11329177,63323082476,"MEDLINE INDUSTRIES, LP",46.23,2.0
TX0058,2025-03,11756376,63323087010,"FRESENIUS KABI USA, LLC",241.2,6.0
799963,2024-11,420586445,65219015310,"FRESENIUS KABI, LLC",1383.2,14.0
MD0002,2025-06,11756373,63323086910,"MEDLINE INDUSTRIES, LP",102.4,4.0
KY0026,2025-12,421183301,416410,"MEDLINE INDUSTRIES, LP",185.4,9.0
714817,2025-12,421079338,65219047720,"FRESENIUS KABI USA, LLC",129.0,3.0
TX2425,2025-12,11319858,63323062610,"MEDLINE INDUSTRIES, LP",361.8,18.0
NC0068,2025-11,11319858,63323062610,"FRESENIUS KABI USA, LLC",20.0,1.0
NC0068,2025-09,421183299,506030,"FRESENIUS KABI USA, LLC",294.4,8.0
799963,2024-10,11756377,63323087074,"FRESENIUS KABI, LLC",3864.0,184.0
TX2005,2024-11,11756373,63323086910,"FRESENIUS KABI USA, LLC",282.0,10.0
OH2004,2025-09,421183299,506030,"FRESENIUS KABI, LLC",12180.8,331.0
MD0002,2025-12,11756373,63323086910,"MEDLINE INDUSTRIES, LP",76.8,3.0
AA6530,2025-05,11756378,63323087310,"FRESENIUS KABI USA, LLC",101.6,4.0
KY0111,2025-08,421064697,65219045830,"MEDLINE INDUSTRIES, LP",99.0,2.0
AA6530,2025-05,421183299,506030,"FRESENIUS KABI USA, LLC",524.4,15.0
714757,2025-07,11329176,63323082475,"FRESENIUS KABI USA, LLC",369.0,9.0
FL2221,2025-05,421084611,65219046660,"FRESENIUS KABI, LLC",14418.0,178.0
797303,2024-10,12163983,65219022225,"FRESENIUS KABI USA, LLC",4968.0,45.0
714817,2024-10,11756374,63323086974,"FRESENIUS KABI USA, LLC",210.0,5.0
NC0071,2025-06,421183301,416410,"FRESENIUS KABI USA, LLC",103.0,5.0
714819,2025-07,421183300,499030,"FRESENIUS KABI USA, LLC",204.0,6.0
805555,2025-03,11756373,63323086910,"CARDINAL HEALTH 105, INC. DBA SPECIALTY PHARMACEUTICAL SERVICES",137.72,4.0
705079,2025-12,10907278,63323017876,"CARDINAL HEALTH 105, INC. DBA SPECIALTY PHARMACEUTICAL SERVICES",115.08,3.0
FL2004,2024-12,11756373,63323086910,"FRESENIUS KABI, LLC",3384.0,120.0
AA3089,2024-10,11329177,63323082476,"FRESENIUS KABI USA, LLC",269.1,9.0
AA3089,2024-10,11756380,63323087375,"PMW, INC",1190.0,2.0
OH2004,2025-09,11756377,63323087074,"FRESENIUS KABI, LLC",451.2,16.0
AA6530,2025-03,421183299,506030,"FRESENIUS KABI USA, LLC",699.2,20.0
FL2221,2025-03,12233541,63323068610,"FRESENIUS KABI, LLC",620.5,17.0
AU3639,2024-07,11756378,63323087310,UNKNOWN,24.0,1.0
TX2003,2025-01,421064701,65219046020,"FRESENIUS KABI USA, LLC",252.0,6.0
661860,2025-02,11756377,63323087074,"FRESENIUS KABI USA, LLC",420.0,20.0
SC0047,2024-10,11319861,63323062655,"FRESENIUS KABI USA, LLC",50.0,50.0
745175,2024-09,11756378,63323087310,BAXTER HEALTHCARE CORPORATION,68.97,3.0
AA6530,2025-02,11756377,63323087074,"FRESENIUS KABI USA, LLC",101.6,4.0
FL2221,2025-07,421064699,65219046450,"FRESENIUS KABI, LLC",1533.0,21.0
TX0058,2025-02,11756377,63323087074,"FRESENIUS KABI USA, LLC",315.0,15.0
TX2003,2025-07,11380572,63323053075,"CARDINAL HEALTH 105, INC. DBA SPECIALTY PHARMACEUTICAL SERVICES",44.52,1.0
NC0071,2025-08,11756376,63323087010,"FRESENIUS KABI USA, LLC",169.2,3.0
KY0026,2025-02,420586437,65219011810,"FRESENIUS KABI USA, LLC",494.0,5.0
MD0002,2025-10,11329176,63323082475,"FRESENIUS KABI USA, LLC",74.0,2.0
799963,2024-11,11329175,63323082474,"FRESENIUS KABI, LLC",2138.4,36.0
799963,2024-11,12233541,63323068610,"FRESENIUS KABI, LLC",730.0,20.0
NC0071,2025-12,11319858,63323062610,"FRESENIUS KABI USA, LLC",80.0,4.0
MD0002,2025-11,421064699,65219046450,"FRESENIUS KABI USA, LLC",144.0,2.0
KY0111,2025-08,421183301,416410,"MEDLINE INDUSTRIES, LP",20.6,1.0
TX2005,2024-12,10907278,63323017876,"FRESENIUS KABI USA, LLC",249.6,8.0
KY0059,2025-10,420586440,65219014410,"MEDLINE INDUSTRIES, LP",301.5,9.0
799027,2025-09,11756378,63323087310,CARDINAL HEALTH 213 INC,24.75,1.0
714818,2025-10,11329176,63323082475,"FRESENIUS KABI USA, LLC",82.0,2.0
661860,2025-01,11756377,63323087074,"FRESENIUS KABI USA, LLC",126.0,6.0
714817,2025-08,421183299,506030,"FRESENIUS KABI USA, LLC",294.4,8.0
KY0111,2025-06,11319858,63323062610,"MEDLINE INDUSTRIES, LP",40.0,2.0
NC0071,2025-10,11756377,63323087074,"FRESENIUS KABI USA, LLC",169.2,6.0
FL2221,2025-03,420668090,65219038910,"FRESENIUS KABI, LLC",1656.9,63.0
799963,2024-11,420586442,65219014810,"FRESENIUS KABI, LLC",1086.8,11.0
KY0111,2025-09,10907278,63323017876,"MEDLINE INDUSTRIES, LP",30.0,1.0
TX0058,2025-01,421064701,65219046020,"FRESENIUS KABI USA, LLC",210.0,5.0
635761,2025-11,421084611,65219046660,"MEDLINE INDUSTRIES, LP",1085.4,12.0
701379,2025-03,12163985,65219022450,"FRESENIUS KABI, LLC",31.6,1.0
OH2004,2025-10,421084611,65219046660,"FRESENIUS KABI, LLC",450.0,5.0
KY0111,2025-10,12233539,63323068310,"MEDLINE INDUSTRIES, LP",201.0,5.0
742130,2025-04,11756377,63323087074,HOSPITALS SERVICES EXPENSES,183.5,50.0
668178,2025-03,12233539,63323068310,"FRESENIUS KABI USA, LLC",135.9,3.0
NY2246,2024-10,420586452,65219038905,"FRESENIUS KABI USA, LLC",4116.0,15.0
799963,2024-11,420586439,65219014210,"FRESENIUS KABI, LLC",1383.2,14.0
KY0059,2025-11,421084611,65219046660,"MEDLINE INDUSTRIES, LP",1800.0,20.0
KY0084,2025-11,421064699,65219046450,"MEDLINE INDUSTRIES, LP",79.5,1.0
TX0134,2025-12,11756377,63323087074,"MEDLINE INDUSTRIES, LP",425.12,15.0
OH2004,2025-08,420668090,65219038910,"FRESENIUS KABI, LLC",261.0,9.0
714817,2025-08,11319861,63323062655,"FRESENIUS KABI USA, LLC",33.0,1.0
714817,2025-07,421183300,499030,"FRESENIUS KABI USA, LLC",34.0,1.0
TX0134,2025-10,421064697,65219045830,"MEDLINE INDUSTRIES, LP",497.48,10.0
KY0026,2025-10,421064697,65219045830,"MEDLINE INDUSTRIES, LP",721.5899999999999,11.0
OH2004,2025-07,11756377,63323087074,"FRESENIUS KABI, LLC",451.2,16.0
800479,2025-04,11756373,63323086910,"CARDINAL HEALTH 105, INC. DBA SPECIALTY PHARMACEUTICAL SERVICES",34.43,1.0
635761,2025-12,11329175,63323082474,"MEDLINE INDUSTRIES, LP",58.79,1.0
MD0002,2025-08,420586445,65219015310,"FRESENIUS KABI USA, LLC",196.5,3.0
TX0355,2024-11,11756377,63323087074,"FRESENIUS KABI USA, LLC",63.0,3.0
OH2004,2025-10,11319858,63323062610,"FRESENIUS KABI, LLC",260.0,13.0
KY0026,2025-11,420586440,65219014410,"MEDLINE INDUSTRIES, LP",201.0,6.0
TX2005,2025-01,421064701,65219046020,"FRESENIUS KABI USA, LLC",167.2,4.0
KY0203,2025-10,11380572,63323053075,"MEDLINE INDUSTRIES, LP",79.2,2.0
FL2221,2025-05,421023672,65219045660,"FRESENIUS KABI, LLC",2851.2,33.0
714757,2025-10,421064697,65219045830,"FRESENIUS KABI USA, LLC",2722.5,55.0
635761,2025-10,11380572,63323053075,"MEDLINE INDUSTRIES, LP",39.8,1.0
FL2221,2025-04,11329176,63323082475,"FRESENIUS KABI, LLC",795.0,20.0
NC0084,2025-11,11329177,63323082476,"FRESENIUS KABI USA, LLC",92.0,4.0
635761,2025-11,421183299,506030,"MEDLINE INDUSTRIES, LP",4401.1,119.0
799963,2024-12,420586442,65219014810,"FRESENIUS KABI, LLC",2667.6,27.0
705079,2024-10,10907278,63323017876,"FRESENIUS KABI USA, LLC",312.0,10.0
KY0026,2025-12,421064697,65219045830,"MEDLINE INDUSTRIES, LP",445.5,9.0
KY0111,2025-10,12233541,63323068610,"MEDLINE INDUSTRIES, LP",281.4,7.0
FL2004,2024-12,10907278,63323017876,"FRESENIUS KABI, LLC",1872.0,60.0
FL2221,2025-07,11756377,63323087074,"FRESENIUS KABI, LLC",2835.6,122.0
NC0071,2025-11,421183301,416410,"FRESENIUS KABI USA, LLC",164.8,8.0
799963,2025-04,11756376,63323087010,"FRESENIUS KABI, LLC",15588.0,180.0
MD0002,2025-01,11756376,63323087010,"FRESENIUS KABI USA, LLC",762.0,15.0
TX0058,2025-03,421064701,65219046020,"CARDINAL HEALTH 105, INC. DBA SPECIALTY PHARMACEUTICAL SERVICES",44.52,1.0
FL2221,2025-06,421183301,416410,"FRESENIUS KABI, LLC",2960.0,160.0
AA6530,2025-04,421183300,499030,"FRESENIUS KABI USA, LLC",387.84,12.0
AA6913,2025-02,11319861,63323062655,"FRESENIUS KABI, LLC",42.0,1.0
AA6913,2025-03,10907278,63323017876,"FRESENIUS KABI, LLC",31.2,1.0
650693,2025-05,11756378,63323087310,UNKNOWN,24.75,1.0
OH2004,2025-08,421183301,416410,"FRESENIUS KABI, LLC",350.2,17.0
MD0002,2024-12,420668090,65219038910,"FRESENIUS KABI USA, LLC",631.2,24.0
FL2221,2025-06,11319861,63323062655,"FRESENIUS KABI, LLC",89.4,3.0
MN2016,2024-12,11756378,63323087310,BAXTER HEALTHCARE CORPORATION,24.02,1.0
613324,2025-04,421183299,506030,"FRESENIUS KABI, LLC",174.8,5.0
652220,2024-10,11329175,63323082474,"FRESENIUS KABI USA, LLC",594.0,10.0
KY0111,2025-11,421084611,65219046660,"MEDLINE INDUSTRIES, LP",450.0,5.0
714819,2025-11,11756377,63323087074,"FRESENIUS KABI USA, LLC",56.4,2.0
NC0068,2025-10,11756377,63323087074,"FRESENIUS KABI USA, LLC",84.6,3.0
AA6530,2025-02,11756373,63323086910,"FRESENIUS KABI USA, LLC",203.2,8.0
805555,2024-10,11756377,63323087074,"CARDINAL HEALTH 105, INC. DBA SPECIALTY PHARMACEUTICAL SERVICES",50.44,2.0
OH2004,2025-05,11329175,63323082474,"FRESENIUS KABI, LLC",58.5,1.0
KY0059,2025-11,421064699,65219046450,"MEDLINE INDUSTRIES, LP",79.5,1.0
799963,2024-10,420586452,65219038905,"FRESENIUS KABI, LLC",2700.0,50.0
NC0084,2025-04,12233537,63323066910,"FRESENIUS KABI USA, LLC",41.2,1.0
TX0156,2025-11,11329177,63323082476,"MEDLINE INDUSTRIES, LP",23.12,1.0
TX0104,2024-12,11329177,63323082476,"FRESENIUS KABI USA, LLC",117.5,5.0
668178,2025-01,11756373,63323086910,"FRESENIUS KABI USA, LLC",282.0,10.0
FL2221,2024-10,12233537,63323066910,"FRESENIUS KABI, LLC",109.5,3.0
KY0074,2024-10,12233541,63323068610,"FRESENIUS KABI USA, LLC",1072.0,25.0
FL2221,2024-12,420586439,65219014210,"FRESENIUS KABI, LLC",93.6,3.0
OH2004,2025-04,11756373,63323086910,"FRESENIUS KABI, LLC",366.6,13.0
FL2221,2025-06,11756373,63323086910,"FRESENIUS KABI, LLC",2184.3999999999996,86.0
TX0226,2025-07,421064701,65219046020,"CARDINAL HEALTH 105, INC. DBA SPECIALTY PHARMACEUTICAL SERVICES",354.48,8.0
765013,2025-01,12233541,63323068610,"FRESENIUS KABI, LLC",36.5,1.0
TX0134,2025-11,420586440,65219014410,"MEDLINE INDUSTRIES, LP",33.67,1.0
TX0134,2025-10,12121078,65219000601,"MEDLINE INDUSTRIES, LP",5185.8,30.0
KY0111,2025-06,12233539,63323068310,"MEDLINE INDUSTRIES, LP",40.2,1.0
KY0203,2025-10,11319858,63323062610,"MEDLINE INDUSTRIES, LP",20.0,1.0
KY0026,2025-09,420586437,65219011810,"MEDLINE INDUSTRIES, LP",67.0,2.0
714816,2025-08,11329176,63323082475,"FRESENIUS KABI USA, LLC",41.0,1.0
KY0111,2025-09,421064697,65219045830,"MEDLINE INDUSTRIES, LP",99.0,2.0
799963,2024-12,11756377,63323087074,"FRESENIUS KABI, LLC",3675.0,175.0
799963,2024-12,12233539,63323068310,"FRESENIUS KABI, LLC",1204.5,33.0
KY0111,2025-08,420586440,65219014410,"MEDLINE INDUSTRIES, LP",167.5,5.0
OH2004,2025-04,421064701,65219046020,"FRESENIUS KABI, LLC",108.0,3.0
MD0002,2025-12,421064697,65219045830,"MEDLINE INDUSTRIES, LP",270.36,6.0
KY0074,2024-11,421064701,65219046020,"FRESENIUS KABI USA, LLC",627.0,15.0
KY0111,2025-09,11756377,63323087074,"MEDLINE INDUSTRIES, LP",28.2,1.0
KY0026,2025-07,421183301,416410,"MEDLINE INDUSTRIES, LP",267.8,13.0
OH2004,2025-11,421183300,499030,"FRESENIUS KABI, LLC",918.0,27.0
714757,2025-03,421183300,499030,"FRESENIUS KABI USA, LLC",2006.0,59.0
AA3089,2024-10,12233543,63323068810,"FRESENIUS KABI USA, LLC",54.9,1.0
668178,2025-01,421064697,65219045830,"FRESENIUS KABI USA, LLC",119.4,2.0
714818,2025-06,10907278,63323017876,"FRESENIUS KABI USA, LLC",30.0,1.0
TX0134,2025-10,11329177,63323082476,"MEDLINE INDUSTRIES, LP",184.92,8.0
TX0156,2025-11,420586440,65219014410,"MEDLINE INDUSTRIES, LP",101.0,3.0
714817,2024-10,11756373,63323086910,"FRESENIUS KABI USA, LLC",2679.0,95.0
FL2221,2024-10,11329177,63323082476,"FRESENIUS KABI, LLC",141.0,6.0
KY0026,2025-08,12233541,63323068610,"MEDLINE INDUSTRIES, LP",80.4,2.0
714817,2025-09,12121078,65219000601,"FRESENIUS KABI USA, LLC",172.0,1.0
OH2004,2025-04,421183299,506030,"FRESENIUS KABI, LLC",588.8,16.0
TX2006,2024-11,11756373,63323086910,"FRESENIUS KABI USA, LLC",564.0,20.0
781795,2025-12,421084611,65219046660,"MEDLINE INDUSTRIES, LP",1260.0,14.0
714817,2025-06,12187705,65219022010,"FRESENIUS KABI USA, LLC",79.0,1.0
781795,2025-07,11756373,63323086910,"MEDLINE INDUSTRIES, LP",141.0,5.0
KY0111,2025-09,421023672,65219045660,"MEDLINE INDUSTRIES, LP",95.4,1.0
635761,2025-10,420668090,65219038910,"MEDLINE INDUSTRIES, LP",58.29,2.0
KY0059,2025-12,421064697,65219045830,"MEDLINE INDUSTRIES, LP",297.0,6.0
714814,2025-09,11329177,63323082476,"FRESENIUS KABI USA, LLC",69.0,3.0
714814,2025-12,420586445,65219015310,"FRESENIUS KABI USA, LLC",72.2,1.0
765013,2025-01,11756373,63323086910,"FRESENIUS KABI, LLC",50.8,2.0
824068,2025-10,10907278,63323017876,"CARDINAL HEALTH 414, LLC",33.48,1.0
KY0026,2025-10,421183301,416410,"MEDLINE INDUSTRIES, LP",329.6,16.0
AV1530,2025-10,421183299,506030,"MEDLINE INDUSTRIES, LP",147.94,4.0
FL2221,2025-05,11756378,63323087310,"FRESENIUS KABI, LLC",127.0,5.0
OH2004,2025-05,11756378,63323087310,"FRESENIUS KABI, LLC",56.4,2.0
KY0203,2025-11,421064697,65219045830,"MEDLINE INDUSTRIES, LP",576.6,10.0
765013,2024-11,11329176,63323082475,"FRESENIUS KABI, LLC",41.0,1.0
759589,2025-03,11756377,63323087074,HOSPITALS SERVICES EXPENSES,7.34,2.0
OH2004,2025-06,421064701,65219046020,"FRESENIUS KABI, LLC",108.0,3.0
TX0134,2025-10,420668090,65219038910,"MEDLINE INDUSTRIES, LP",58.29,2.0
TX2006,2025-01,11319858,63323062610,"FRESENIUS KABI USA, LLC",188.0,8.0
799963,2024-11,11756377,63323087074,"FRESENIUS KABI, LLC",7288.8,284.0
635761,2025-12,10907278,63323017876,"MEDLINE INDUSTRIES, LP",603.0,20.0
619684,2025-12,421064697,65219045830,"CARDINAL HEALTH 105, INC. DBA SPECIALTY PHARMACEUTICAL SERVICES",63.28,1.0
805555,2025-01,11319858,63323062610,"FRESENIUS KABI USA, LLC",117.5,5.0
FL2221,2025-07,11319858,63323062610,"FRESENIUS KABI, LLC",1253.7,69.0
AA2035,2025-11,12163985,65219022450,"FRESENIUS KABI, LLC",80.8,2.0
TX0156,2025-11,421084611,65219046660,"FRESENIUS KABI, LLC",450.0,5.0
AA6530,2025-07,11319858,63323062610,"FRESENIUS KABI USA, LLC",18.0,1.0
KY0084,2025-10,421064697,65219045830,"MEDLINE INDUSTRIES, LP",49.5,1.0
799963,2024-10,12163983,65219022225,"FRESENIUS KABI, LLC",38419.2,348.0
635761,2025-12,11756373,63323086910,"MEDLINE INDUSTRIES, LP",113.36,4.0
CA2305,2024-10,420668090,65219038910,"FRESENIUS KABI USA, LLC",2954.0,20.0
TX0156,2025-07,11756377,63323087074,"FRESENIUS KABI, LLC",676.8,24.0
765013,2024-12,12187703,65219021850,"FRESENIUS KABI, LLC",5796.0,30.0
KY0111,2025-06,421183301,416410,"MEDLINE INDUSTRIES, LP",41.2,2.0
FL2221,2025-06,421183300,499030,"FRESENIUS KABI, LLC",1454.4,45.0
714817,2024-10,11756378,63323087310,"FRESENIUS KABI USA, LLC",141.0,5.0
714817,2024-10,12233537,63323066910,"FRESENIUS KABI USA, LLC",182.5,5.0
MD0002,2025-09,11329177,63323082476,"MEDLINE INDUSTRIES, LP",187.83,9.0
714757,2025-06,420586437,65219011810,"FRESENIUS KABI USA, LLC",1005.0,30.0
FL2221,2025-06,11756377,63323087074,"FRESENIUS KABI, LLC",1320.8,52.0
701379,2025-01,12187703,65219021850,"FRESENIUS KABI, LLC",386.4,2.0
KY0026,2025-09,421064697,65219045830,"MEDLINE INDUSTRIES, LP",396.0,8.0
AA3089,2024-10,420586440,65219014410,"FRESENIUS KABI USA, LLC",45.9,1.0
FL2221,2024-11,11756373,63323086910,"FRESENIUS KABI, LLC",1889.4,67.0
FL2221,2024-12,420586437,65219011810,"FRESENIUS KABI, LLC",280.8,9.0
KY0111,2025-08,12233541,63323068610,"MEDLINE INDUSTRIES, LP",120.60000000000001,3.0
FL2221,2025-05,12233539,63323068310,"FRESENIUS KABI, LLC",584.0,16.0
TX2425,2025-12,421064697,65219045830,"MEDLINE INDUSTRIES, LP",1392.54,28.0
AA6530,2025-04,421183299,506030,"FRESENIUS KABI USA, LLC",349.6,10.0
KY0111,2025-09,421064701,65219046020,"MEDLINE INDUSTRIES, LP",36.0,1.0
797303,2024-11,11329175,63323082474,"CARDINAL HEALTH 105, INC. DBA SPECIALTY PHARMACEUTICAL SERVICES",119.02,1.0
KY0084,2025-09,12233541,63323068610,"MEDLINE INDUSTRIES, LP",844.2,21.0
MA2038,2025-07,11756378,63323087310,BAXTER HEALTHCARE CORPORATION,74.25,3.0
MD0002,2025-12,421183299,506030,"MEDLINE INDUSTRIES, LP",2537.2799999999997,72.0
NC0071,2025-12,421064697,65219045830,"FRESENIUS KABI USA, LLC",49.5,1.0
714818,2025-11,421064697,65219045830,"FRESENIUS KABI USA, LLC",49.5,1.0
NY5017,2025-12,11756378,63323087310,"MEDLINE INDUSTRIES, LP",198.96,8.0
TX2003,2025-01,11756373,63323086910,"FRESENIUS KABI USA, LLC",338.4,12.0
TX0134,2025-12,11319858,63323062610,"MEDLINE INDUSTRIES, LP",100.5,5.0
714817,2025-07,421183299,506030,"FRESENIUS KABI USA, LLC",220.8,6.0
NC0084,2025-11,421084611,65219046660,"FRESENIUS KABI USA, LLC",540.0,6.0
TX2006,2025-02,420586440,65219014410,"FRESENIUS KABI USA, LLC",364.2,6.0
714757,2025-04,420586438,65219011910,"FRESENIUS KABI USA, LLC",6960.0,200.0
NC0068,2025-07,12187705,65219022010,"FRESENIUS KABI USA, LLC",79.0,1.0
NC0071,2025-05,421183301,416410,"FRESENIUS KABI USA, LLC",41.2,2.0
OH2004,2025-04,421183301,416410,"FRESENIUS KABI, LLC",473.79999999999995,23.0
TX2005,2025-02,420586440,65219014410,"FRESENIUS KABI USA, LLC",367.68,8.0
MD0002,2025-07,420668090,65219038910,"MEDLINE INDUSTRIES, LP",159.06,6.0
FL2221,2025-04,11756377,63323087074,"FRESENIUS KABI, LLC",1365.0,65.0
KY0074,2025-01,11329177,63323082476,"FRESENIUS KABI USA, LLC",234.0,10.0
OH2004,2025-10,420668090,65219038910,"FRESENIUS KABI, LLC",87.0,3.0
